%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
 27,0.8009,0.8736,0.9139,0.9455,0.9699,0.9894,1.0058,1.0199,1.0320,1.0424,1.0514,1.0593,1.0662,1.0724,1.0779,1.0828,1.0873,1.0914,1.0950,1.0984,1.1014,1.1041,1.1066,1.1089,1.1109,1.1127,1.1144,1.1158,1.1172,1.1183,1.1194,1.1203,1.1211,1.1218,1.1224,1.1229,1.1234,1.1237,1.1240,1.1242,
 28,0.8011,0.8739,0.9141,0.9459,0.9704,0.9900,1.0064,1.0205,1.0326,1.0431,1.0522,1.0601,1.0671,1.0733,1.0789,1.0839,1.0884,1.0926,1.0963,1.0997,1.1028,1.1055,1.1081,1.1104,1.1124,1.1143,1.1160,1.1175,1.1188,1.1200,1.1211,1.1220,1.1228,1.1235,1.1241,1.1247,1.1251,1.1254,1.1257,1.1259,
 29,0.8013,0.8741,0.9144,0.9462,0.9709,0.9905,1.0070,1.0211,1.0333,1.0438,1.0529,1.0609,1.0679,1.0742,1.0798,1.0849,1.0895,1.0937,1.0974,1.1009,1.1040,1.1068,1.1094,1.1117,1.1138,1.1157,1.1174,1.1190,1.1203,1.1216,1.1226,1.1236,1.1244,1.1251,1.1257,1.1262,1.1267,1.1270,1.1272,1.1274,
 30,0.8014,0.8743,0.9146,0.9466,0.9713,0.9910,1.0076,1.0217,1.0339,1.0444,1.0536,1.0616,1.0687,1.0750,1.0807,1.0858,1.0905,1.0947,1.0985,1.1020,1.1052,1.1080,1.1106,1.1130,1.1151,1.1171,1.1188,1.1203,1.1217,1.1230,1.1241,1.1250,1.1259,1.1266,1.1272,1.1277,1.1281,1.1284,1.1287,1.1288,
 31,0.8016,0.8745,0.9148,0.9469,0.9717,0.9915,1.0081,1.0223,1.0345,1.0450,1.0542,1.0623,1.0694,1.0758,1.0815,1.0867,1.0914,1.0956,1.0995,1.1030,1.1062,1.1091,1.1118,1.1142,1.1163,1.1183,1.1200,1.1216,1.1230,1.1243,1.1254,1.1263,1.1272,1.1279,1.1285,1.1290,1.1294,1.1297,1.1300,1.1301,
 32,0.8017,0.8747,0.9150,0.9472,0.9721,0.9920,1.0086,1.0228,1.0350,1.0456,1.0549,1.0629,1.0701,1.0765,1.0823,1.0875,1.0922,1.0965,1.1004,1.1040,1.1072,1.1101,1.1128,1.1152,1.1174,1.1194,1.1212,1.1228,1.1242,1.1254,1.1266,1.1275,1.1284,1.1291,1.1297,1.1302,1.1306,1.1310,1.1312,1.1313,
 33,0.8018,0.8749,0.9152,0.9474,0.9725,0.9925,1.0091,1.0233,1.0356,1.0462,1.0554,1.0636,1.0708,1.0772,1.0830,1.0883,1.0930,1.0973,1.1013,1.1049,1.1081,1.1111,1.1138,1.1162,1.1184,1.1204,1.1222,1.1238,1.1253,1.1265,1.1277,1.1286,1.1295,1.1302,1.1308,1.1314,1.1318,1.1321,1.1323,1.1324,
 34,0.8020,0.8752,0.9154,0.9476,0.9728,0.9929,1.0097,1.0239,1.0361,1.0467,1.0560,1.0642,1.0714,1.0779,1.0837,1.0890,1.0938,1.0982,1.1021,1.1057,1.1090,1.1120,1.1147,1.1171,1.1194,1.1214,1.1232,1.1248,1.1262,1.1275,1.1287,1.1296,1.1305,1.1312,1.1319,1.1324,1.1328,1.1331,1.1333,1.1335,
 35,0.8021,0.8754,0.9157,0.9478,0.9732,0.9934,1.0102,1.0244,1.0367,1.0473,1.0566,1.0648,1.0720,1.0785,1.0844,1.0897,1.0945,1.0989,1.1029,1.1065,1.1098,1.1128,1.1155,1.1180,1.1202,1.1223,1.1241,1.1257,1.1271,1.1284,1.1296,1.1306,1.1314,1.1322,1.1328,1.1333,1.1338,1.1341,1.1343,1.1345,
 36,0.8023,0.8756,0.9159,0.9480,0.9735,0.9939,1.0107,1.0250,1.0372,1.0478,1.0571,1.0653,1.0727,1.0792,1.0851,1.0904,1.0953,1.0997,1.1037,1.1073,1.1106,1.1136,1.1164,1.1188,1.1211,1.1231,1.1249,1.1265,1.1280,1.1293,1.1304,1.1314,1.1323,1.1330,1.1337,1.1342,1.1346,1.1350,1.1352,1.1354,
 37,0.8025,0.8759,0.9161,0.9482,0.9738,0.9943,1.0113,1.0256,1.0378,1.0484,1.0577,1.0659,1.0733,1.0799,1.0858,1.0911,1.0960,1.1004,1.1044,1.1081,1.1114,1.1144,1.1171,1.1196,1.1218,1.1238,1.1257,1.1273,1.1287,1.1300,1.1312,1.1322,1.1331,1.1338,1.1345,1.1350,1.1355,1.1358,1.1361,1.1362,
 38,0.8026,0.8761,0.9163,0.9484,0.9741,0.9948,1.0119,1.0262,1.0384,1.0490,1.0583,1.0665,1.0739,1.0805,1.0865,1.0919,1.0967,1.1012,1.1052,1.1088,1.1121,1.1151,1.1179,1.1203,1.1226,1.1246,1.1264,1.1280,1.1295,1.1308,1.1319,1.1329,1.1338,1.1346,1.1352,1.1358,1.1362,1.1366,1.1369,1.1371,
 39,0.8028,0.8764,0.9166,0.9485,0.9744,0.9953,1.0125,1.0268,1.0390,1.0495,1.0589,1.0672,1.0746,1.0812,1.0872,1.0926,1.0975,1.1019,1.1059,1.1096,1.1129,1.1159,1.1186,1.1210,1.1232,1.1252,1.1270,1.1287,1.1301,1.1314,1.1326,1.1336,1.1345,1.1352,1.1359,1.1365,1.1369,1.1373,1.1376,1.1379,
 40,0.8029,0.8767,0.9168,0.9487,0.9747,0.9959,1.0131,1.0274,1.0396,1.0501,1.0595,1.0678,1.0752,1.0819,1.0879,1.0933,1.0982,1.1026,1.1067,1.1103,1.1136,1.1166,1.1192,1.1217,1.1239,1.1259,1.1277,1.1293,1.1307,1.1320,1.1332,1.1342,1.1351,1.1359,1.1365,1.1371,1.1376,1.1380,1.1384,1.1386,
